State,Black,Hispanic,Asian,Multiple,Others
Alabama,0.4767290228228519,0.14851999821776002,0.19802764465919442,0.6930967563071805,
Alaska,1.3621194578764557,0.0,0.0,0.0,0.0
Arizona,0.8947160136960375,0.03441215437292452,0.045882925128242776,0.2064736367578133,0.0
Arkansas,0.28620618293418576,0.2889588811512122,0.16512004227073082,0.0,0.0
California,0.11751787932344446,0.005748155672318339,0.015328416431517404,0.0,
Colorado,3.18346662307325,0.24247449129242815,0.8030377771914328,0.2867992061397974,0.0
Connecticut,0.9659569183214428,0.12987645502216016,0.3311861431717697,0.09199632014719411,
Delaware,0.13571160379449645,0.0,0.24880573248407642,0.0,
District of Columbia,0.398730707248592,0.4077915369663028,1.12145340361108,0.0,
Florida,0.0030541718460330887,0.0,0.0,0.0,
Georgia,0.26313523237233155,0.129773582177267,0.20856458897712973,0.12359411692003461,
Hawaii,5.528297975260867,0.0,0.08859122238168642,0.0,0.0
Idaho,3.6758914036653887,0.16157699143641946,0.5251273433807698,0.17504244779358993,0.0
Illinois,0.15764833723231453,0.026274717940902904,0.05254943588180581,0.0,
Indiana,0.570760432277644,0.23063359241173548,0.36691861745064946,0.36691861745064946,
Iowa,2.1890905110744527,0.05212106681399555,0.3127296608446828,0.0,
Kansas,2.1557225925400654,0.08509431286342363,0.0,0.22691945493946925,0.0
Kentucky,1.4423330291489957,0.27737250572774225,0.6656977066714005,0.11094961777856675,
Louisiana,0.3579458232112333,0.08644760842691288,0.0,1.0806021114965259,0.0
Maine,21.057217542840547,0.7261109497531223,1.4522218995062446,0.0,0.0
Maryland,0.18354735494765392,0.05889220811917427,0.026992301795527914,0.2159384143642233,
Massachusetts,3.229247993982971,0.2861359956698086,0.6131483532879058,0.04768944632552816,
Michigan,1.2644889357218125,0.1793275217932752,0.43171440431714403,0.26567040265670405,0.0
Minnesota,2.6262956391819965,0.40853487720608833,0.5952943730674819,0.46689700252124383,0.0
Mississippi,0.04460932049298652,0.2260219015222575,0.0,1.01712154602475,
Missouri,0.972475982790122,0.32415961619501443,0.32415961619501443,0.32415961619501443,
Montana,4.51997830410414,0.2259938077696671,0.903995660820828,0.0,0.0
Nebraska,1.3241390549721421,0.13889531922774204,0.0,1.0185633164421584,0.0
Nevada,1.9069412662090008,0.2739858141104886,0.38845099867220384,0.2383676582761251,0.0
New Hampshire,10.09009009009009,0.0,0.0,0.7207207207207207,
New Jersey,0.8721805863391344,0.09248455122642223,0.11868847081774199,0.37764554189437793,
New Mexico,1.8897786596744857,0.04724388616869091,0.0,0.2362223324593107,0.0
New York,0.14028534759112074,0.026504649047966258,0.8561001894611269,0.016786297010024778,
North Carolina,0.38759078525442403,0.24607510212116737,0.18928877896118318,0.09464438948059159,0.0
North Dakota,8.355829798174572,0.0,0.0,0.0,0.0
Ohio,0.9491960521944491,0.29750963187433194,0.2975102641041116,0.25500807525571645,
Oklahoma,0.7516509476170875,0.045554558416887984,0.375826819001804,0.07158580453496072,0.0
Oregon,10.455090101731551,0.6144737484163746,0.5638700279585556,0.9397833799309259,0.0
Pennsylvania,0.4764814153035071,0.057638880883488765,0.3842592058899251,0.07685184117798502,
Rhode Island,0.7596590650116228,0.053623040748148665,0.6077364854599046,0.0,
South Carolina,0.19255707650959195,0.16046470578796193,0.2888364704183315,0.19255764694555433,
South Dakota,2.2317692350610945,0.0,0.0,0.5579423087652736,0.0
Tennessee,0.4305179848888187,0.23917665827156595,0.2870119899258792,0.1435059949629396,
Texas,0.40596967124632405,0.048208891664894074,0.10149241208896419,0.15223866963701227,
Utah,4.79171034110988,0.149740627841061,0.598963792638735,0.8984456889581025,0.0
Vermont,35.55418148090895,0.0,0.7728572532653218,2.3185717597959656,0.0
Virginia,0.23709662416962987,0.11550865390835081,0.04950372515531794,0.30802402587401817,
Washington,5.942595816283358,0.45712196013896506,0.8612436070604751,0.4909091378860419,0.0
West Virginia,1.4935125548399142,0.0,0.5600672080649678,0.2800336040324839,
Wisconsin,1.0203908096801075,0.17006513494668457,0.2267535132622461,0.08503256747334229,0.0
Wyoming,10.355540214014498,0.0,0.0,0.0,0.0
