state_name,hate_crime_case_normalized,number_of_victims_normalized,number_of_offenders_normalized
Alaska,14.994486118513693,23.17329672861207,21.810161626929006
Alabama,0.20375043424311298,0.20375043424311298,0.20375043424311298
Arkansas,4.634250087305961,5.627303677442954,6.289339404200948
Arizona,28.662164009839486,34.97058288281851,24.95939641048223
California,25.73685372921939,31.974554238961232,24.51974143463562
Colorado,40.635680975867615,51.22874311060233,43.93515934570302
Connecticut,22.43396142816842,25.799055642393682,15.703772999717893
District of Columbia,313.44731331882815,354.39313352714356,371.33623154437754
Delaware,22.525566517997927,27.645013453906547,15.35834080772586
Florida,5.164698993898024,6.327919488019201,8.09601463908339
Georgia,14.584089981012456,17.21863526790503,13.078635531359557
Hawaii,27.549863486894388,36.02674455978497,33.907524291562325
Iowa,3.16496159635599,4.114450075262787,2.215473117449193
Idaho,11.738007668831676,22.35810984539367,13.973818653371044
Illinois,5.368272577513712,7.894518496343694,9.78920293546618
Indiana,13.519516387585222,16.342272556421698,14.708045300779526
Kansas,25.749879404731455,35.01983599043478,22.659893876163682
Kentucky,32.64506651432303,41.36532400787506,30.18550670844937
Louisiana,5.796124539395937,7.728166052527915,7.084152214817256
Massachusetts,55.40340568505658,64.6856516637048,43.800598211746305
Maryland,3.1379263987802384,3.1379263987802384,2.972772377791805
Maine,14.118311449950587,18.576725592040244,13.375242426268978
Michigan,40.66182630689964,47.87279057807396,37.857562423665186
Minnesota,24.822461774738642,33.687626694288156,23.93594528278369
Missouri,14.819700430341301,18.728192851530213,16.611092790052886
Mississippi,7.0511750783268035,7.0511750783268035,8.05848580380206
Montana,31.77204863366174,37.378880745484395,28.0341605591133
Nebraska,22.767598189148032,27.424606909655584,20.180371122199393
North Carolina,21.90187502904379,26.663152209270702,18.568981002884954
North Dakota,24.878097323116727,28.806217953082527,23.568723779794794
New Hampshire,11.757936423368017,13.227678476289018,8.818452317526011
New Jersey,112.0201438311654,113.25731409436099,43.75083930755355
New Mexico,24.766221160449867,32.38659690212675,28.57640903128831
Nevada,16.500737194699962,20.05971972689015,14.235930128760751
New York,31.64958402633163,32.42027194905074,34.013026989336915
Ohio,29.923463475035753,33.94175714168341,26.33264785803146
Oklahoma,7.8269467131368495,8.83687532128354,7.321982409063503
Oregon,42.21895222996711,52.65509772501515,29.648140610931957
Pennsylvania,3.5159318199877285,4.297250002207224,2.812745455990183
Rhode Island,16.065653711449517,19.84580752590823,8.505346082532098
South Carolina,11.051433370908207,14.347474902582585,10.46977898296567
South Dakota,21.417452067178655,25.926389344479425,19.16298342852827
Tennessee,16.83668053862737,21.96088765907918,21.66807582362479
Texas,14.109873620380371,18.04269903046194,15.696803171816795
Utah,10.301609267452566,15.920668867881238,7.1799094894366355
Virginia,19.633870389809463,22.555577293054917,15.07600762074655
Vermont,54.48316310015608,60.89294699429208,19.229351682408026
Washington,62.91022986005822,78.93329466783923,56.08072682723353
Wisconsin,8.24093612913959,9.442739314639113,8.412622298496663
West Virginia,30.07915831830768,33.421287020341865,23.951922364578337
Wyoming,8.618965862000014,10.342759034400016,12.066552206800019
