Description,Population
Alabama,"5,049,846"
Alaska,"734,182"
Arizona,"7,264,877"
Arkansas,"3,028,122"
California,"39,142,991"
Colorado,"5,811,297"
Connecticut,"3,623,355"
Delaware,"1,004,807"
District of Columbia,"668,791"
Florida,"21,828,069"
Georgia,"10,788,029"
Hawaii,"1,447,154"
Idaho,"1,904,314"
Illinois,"12,686,469"
Indiana,"6,813,532"
Iowa,"3,197,689"
Kansas,"2,937,922"
Kentucky,"4,506,589"
Louisiana,"4,627,098"
Maine,"1,377,238"
Maryland,"6,174,610"
Massachusetts,"6,989,690"
Michigan,"10,037,504"
Minnesota,"5,711,471"
Mississippi,"2,949,586"
Missouri,"6,169,823"
Montana,"1,106,227"
Nebraska,"1,963,554"
Nevada,"3,146,402"
New Hampshire,"1,387,505"
New Jersey,"9,267,961"
New Mexico,"2,116,677"
New York,"19,857,492"
North Carolina,"10,565,885"
North Dakota,"777,934"
Ohio,"11,764,342"
Oklahoma,"3,991,225"
Oregon,"4,256,301"
Pennsylvania,"13,012,059"
Rhode Island,"1,096,985"
South Carolina,"5,193,266"
South Dakota,"896,164"
Tennessee,"6,968,351"
Texas,"29,558,864"
Utah,"3,339,113"
Vermont,"646,972"
Virginia,"8,657,365"
Washington,"7,740,745"
West Virginia,"1,785,526"
Wisconsin,"5,880,101"
Wyoming,"579,483"
